dtype,kv_dtype,batch_size,kv_len,latency_us,mfu
bf16,bf16,1,1024,35.545,0.0
bf16,bf16,1,4096,33.148,0.002
bf16,bf16,1,8192,54.601,0.002
bf16,bf16,1,16384,97.221,0.003
bf16,bf16,1,32768,181.792,0.003
bf16,bf16,1,65536,352.572,0.003
bf16,bf16,1,131072,694.08,0.003
bf16,bf16,16,1024,96.727,0.003
bf16,bf16,16,4096,350.288,0.003
bf16,bf16,16,8192,690.972,0.003
bf16,bf16,16,16384,1384.23,0.003
bf16,bf16,16,32768,2764.869,0.003
bf16,bf16,16,65536,5520.695,0.003
bf16,bf16,16,131072,11045.183,0.003
bf16,bf16,32,1024,196.843,0.003
bf16,bf16,32,4096,767.869,0.003
bf16,bf16,32,8192,1531.68,0.003
bf16,bf16,32,16384,3042.121,0.003
bf16,bf16,32,32768,5858.923,0.003
bf16,bf16,32,65536,11353.571,0.003
bf16,bf16,32,131072,22702.444,0.003
bf16,bf16,64,1024,387.745,0.003
bf16,bf16,64,4096,1509.622,0.003
bf16,bf16,64,8192,3009.372,0.003
bf16,bf16,64,16384,6012.742,0.003
bf16,bf16,64,32768,11751.475,0.003
bf16,bf16,64,65536,22098.476,0.003
bf16,bf16,128,1024,825.452,0.003
bf16,bf16,128,4096,3275.207,0.003
bf16,bf16,128,8192,5522.987,0.003
bf16,bf16,128,16384,11046.103,0.003
bf16,bf16,128,32768,22102.195,0.003
bf16,bf16,256,1024,1500.971,0.003
bf16,bf16,256,4096,5499.938,0.003
bf16,bf16,256,8192,10932.519,0.003
bf16,bf16,256,16384,21897.165,0.003
bf16,bf16,512,1024,2976.579,0.003
bf16,bf16,512,4096,11856.472,0.003
bf16,bf16,512,8192,21823.136,0.003
